"country"	"GEI_Schmitt"	"HDI_Schmitt"	"GDP_Schmitt"	"gini_Schmitt"	"GEI_Giolla"	"HDI_Giolla"	"GDP_Giolla"	"gini_Giolla"	"GEI_Lee"	"HDI_Lee"	"GDP_Lee"	"gini_Lee"	"GEI_ESS"	"HDI_ESS"	"GDP_ESS"	"gini_ESS"	"GEI_Falk"	"HDI_Falk"	"GDP_Falk"	"gini_Falk"	"GEI_Stoet"	"HDI_Stoet"	"GDP_Stoet"	"gini_Stoet"	"GEI_Vishkin"	"HDI_Vishkin"	"GDP_Vishkin"	"gini_Vishkin"	"GEI_Asperholm"	"HDI_Asperholm"	"GDP_Asperholm"	"gini_Asperholm"	"GEI_Bleidorn"	"HDI_Bleidorn"	"GDP_Bleidorn"	"gini_Bleidorn"	"GEI_Buss"	"HDI_Buss"	"GDP_Buss"	"gini_Buss"	"GEI_ElseQuest"	"HDI_ElseQuest"	"GDP_ElseQuest"	"gini_ElseQuest"	"GEI_Homicide"	"HDI_Homicide"	"GDP_Homicide"	"gini_Homicide"	"GEI_Maes"	"HDI_Maes"	"GDP_Maes"	"gini_Maes"	"GEI_Randler"	"HDI_Randler"	"GDP_Randler"	"gini_Randler"	"GEI_Schmitt_new"	"HDI_Schmitt_new"	"GDP_Schmitt_new"	"gini_Schmitt_new"	"GEI_Silverman"	"HDI_Silverman"	"GDP_Silverman"	"gini_Silverman"	"GEI_Stoet_new"	"HDI_Stoet_new"	"GDP_Stoet_new"	"gini_Stoet_new"	"GEI_Breda"	"HDI_Breda"	"GDP_Breda"	"gini_Breda"	"GEI_WVSB5"	"HDI_WVSB5"	"GDP_WVSB5"	"gini_WVSB5"	"GEI_GPIPP"	"HDI_GPIPP"	"GDP_GPIPP"	"gini_GPIPP"
"Australia"	0.954	0.906	48453.013800548	33.5	0.7242	0.919666666666667	53097.2183989935	35.05	0.59	0.9354	57312.6348778082	34.1333333333333	NA	NA	NA	NA	0.81	0.9173	52317.6450030746	34.175	0.73	0.933	56708.96119674	NA	0.097	0.941	58868.4806341229	NA	0.68	0.903111111111111	30441	33.4454545454545	0.873347826086956	0.919565217391304	52601.0948595453	34.075	0.815	0.865	36964.6724453489	33.2	0.754	0.906	48453.013800548	33.5	NA	NA	NA	NA	0.85162962962963	0.903111111111111	47519.7934569194	33.4454545454545	0.855379310344828	0.905586206896551	48248.8086460832	33.84	0.738	0.936	24574	33.5	0.864	0.908	49959.0724111333	33.1	0.72	0.9092	49982.803842377	33.875	0.73	0.93	55269.9192801293	NA	NA	NA	NA	NA	0.873347826086956	0.919565217391304	52601.0948595453	34.075
"Austria"	0.926	0.881	39815.2219533064	29.5	NA	NA	NA	NA	0.35	0.9134	44893.5172916034	30.46	0.887	0.898	42655.1921304813	31.5	0.76	0.8954	42761.2422142054	30.17	0.73	0.91	44195.8175947748	30.5	0.069	0.919	46647.0809634335	30.2	-0.29	0.877074074074074	48324	30.1619047619048	0.892913043478261	0.896217391304348	42532.7643937162	30.2285714285714	NA	NA	NA	NA	0.782	0.881	39815.2219533064	29.5	0.9285	0.913	44858.7182090711	30.3875	NA	NA	NA	NA	NA	NA	NA	NA	0.723	0.921	25089	NA	0.874	0.886	40651.2266155811	29.8	0.72	0.8867	41294.1213015805	29.8875	0.74	0.906	44549.881698231	30.5	NA	NA	NA	NA	0.892913043478261	0.896217391304348	42532.7643937162	30.2285714285714
"Belgium"	0.941	0.895	36617.3803840227	28.1	NA	NA	NA	NA	0.61	0.9272	41391.1636516394	27.6	0.904	0.91	39025.2207908291	28.6	NA	NA	NA	NA	0.75	0.924	41008.296719472	27.7	0.043	0.936	43107.214821718	27.2	0.42	0.888	44404	28.075	0.906826086956522	0.909304347826087	39027.1120310481	28.3263157894737	0.82	0.816	29441.6621481593	NA	0.695	0.895	36617.3803840227	28.1	0.941	0.927	41331.6818490638	27.3625	NA	NA	NA	NA	NA	NA	NA	NA	0.692	0.935	25443	NA	0.895	0.9	37761.2813189981	30.5	0.72	0.8997	37943.1046572313	29.4125	0.77	0.915	39975.5736402458	27.5	NA	NA	NA	NA	0.906826086956522	0.909304347826087	39027.1120310481	28.3263157894737
"Canada"	0.946	0.897	39257.7618963901	33.8	0.724566666666667	0.91	41561.7802350873	33.6833333333333	0.66	0.9286	44002.2232971835	33.08	NA	NA	NA	NA	0.78	0.9082	41202.7584860453	33.68	0.74	0.926	43596.1355365546	33.7	0.08	0.937	45113.0662817802	31.7	1.11	0.895851851851852	47446	32.9974358974359	0.874478260869565	0.911086956521739	41246.4821672654	33.3909090909091	0.807	0.86	31707.4817047179	31	0.771	0.897	39257.7618963901	33.8	0.9045	0.92925	43792.1192635114	32.9857142857143	0.850777777777778	0.895851851851852	38047.8661039136	32.8944444444445	0.855034482758621	0.898344827586207	38501.2192024361	32.8454545454546	0.763	0.936	26251	33.6	0.866	0.901	40093.807340436	33.8	0.71	0.9011	40153.9029418629	33.76	0.74	0.921	42315.8073891558	33.5	NA	NA	NA	NA	0.874478260869565	0.911086956521739	41246.4821672654	33.3909090909091
"Denmark"	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.9394	54502.9885340229	28.34	0.949	0.909	50457.2324892863	26.7	NA	NA	NA	NA	0.77	0.936	53254.8563700916	28.2	0.038	0.946	57203.0277943447	27.7	0.89	0.893037037037037	60362	26.2777777777778	0.952	0.917304347826087	52077.1830949157	26.9052631578947	NA	NA	NA	NA	0.825	0.901	49599.9969640753	25.6	0.972375	0.940375	54681.0698031035	28.175	0.934	0.893037037037037	48425.863359036	26.2777777777778	NA	NA	NA	NA	NA	NA	NA	NA	0.945	0.906	50792.00095345	24.9	0.75	0.9043	51190.7204890105	25.4375	0.78	0.931	51567.0401502519	27.8	NA	NA	NA	NA	0.952	0.917304347826087	52077.1830949157	26.9052631578947
"England"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Estonia"	0.852	0.816	12362.2482843024	37.2	NA	NA	NA	NA	NA	NA	NA	NA	0.804	0.856	14205.3948829766	31.4	0.755	0.8499	15123.9549515734	32.98	0.75	0.882	17402.0376128079	32.7	0.086	0.896	20269.575137379	30.8	1.22	0.80662962962963	17491	33.1	0.817913043478261	0.848652173913044	15193.5019892699	32.5333333333333	0.611	0.732	NA	NA	0.56	0.816	12362.2482843024	37.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.552	0.812	8355	NA	NA	NA	NA	NA	0.71	0.8284	13670.6336097926	33.2	0.7	0.874	16257.4722043516	32.9	NA	NA	NA	NA	0.817913043478261	0.848652173913044	15193.5019892699	32.5333333333333
"Finland"	0.94	0.907	40044.3048555829	27.7	0.8182	0.910833333333333	44514.6300084241	27.8166666666667	1.43	0.9316	44038.6690869005	27.14	0.931	0.907	42412.0978494183	27.5	1	0.9094	43482.2128338803	27.72	0.85	0.93	42801.9081167285	27.1	0.047	0.939	46135.8814242631	27.7	1.16	0.886962962962963	47107	26.7333333333333	0.931826086956522	0.913217391304348	42415.54945904	27.4789473684211	0.895	0.814	31279.9519664591	NA	0.801	0.907	40044.3048555829	27.7	0.954125	0.932625	44294.8698036827	27.2125	0.918666666666667	0.886962962962963	38243.868894878	26.7333333333333	0.921551724137931	0.890275862068965	38737.4486021776	26.795	0.783	0.925	23096	NA	0.912	0.902	41522.1750841224	27.9	0.82	0.9048	41917.5044040936	27.75	0.85	0.915	43637.2486713657	27.1	NA	NA	NA	NA	0.931826086956522	0.913217391304348	42415.54945904	27.4789473684211
"Germany"	0.926	0.905	34619.6640670185	29.9	0.75175	0.9235	37791.4609674418	30.75	0.88	0.941	41840.9492111486	31.48	0.902	0.923	36190.3928860698	30.5	0.84	0.9207	37178.2334903289	30.73	0.78	0.938	41103.2564363768	31.4	0.084	0.948	43284.6024553493	31.7	-0.52	0.897296296296296	30564	29.9769230769231	0.899260869565217	0.921173913043478	38128.6868348615	30.6181818181818	0.817	0.829	29485.7099744881	NA	0.776	0.905	34619.6640670185	29.9	0.91925	0.941375	41784.3483819657	31.5142857142857	NA	NA	NA	NA	0.883034482758621	0.900551724137931	35896.0284326078	30.1107142857143	0.749	0.921	23742	29.9	0.893	0.914	35034.0806086181	30.2	0.74	0.9103	35835.8927909188	30.38	0.76	0.933	40069.3539560742	31.1	0.9142	0.9322	39758.7573712958	30.9	0.899260869565217	0.921173913043478	38128.6868348615	30.6181818181818
"Iceland"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.901	0.9	49527.3988280929	28.7	NA	NA	NA	NA	0.88	0.945	52951.6815110898	26.8	0.058	0.96	57461.8019611457	NA	1.26	0.881444444444444	56097	27.9285714285714	0.904217391304348	0.912347826086957	49440.4267003614	27.8066666666667	NA	NA	NA	NA	0.847	0.891	43763.7756121132	26.8	0.942	0.94875	54343.6012450093	26.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.885	0.895	46766.0168708212	28	0.8	0.8937	47571.3689647981	29.1428571428571	0.86	0.921	49191.574417162	26.8	NA	NA	NA	NA	0.904217391304348	0.912347826086957	49440.4267003614	27.8066666666667
