country	under 5 month survival rate per 1000	health expenditure per capita	ASD_per_10000	latitude	population	book_export	book_imports	individualism
Afghanistan	927.23	59.6603507977778	105.6	34.53	32890171	6692	111130	NA
Albania	989.55	226.15058708375	142.2	41.32	2829741	564965.333333333	4990916.55555556	20
Algeria	974.7	292.125105115556	132.5	36.77	45400000	467973.625	84137327.625	35
Angola	906.63	110.691845364444	125.1	-8.83	33086278	175939.5	34445616.8888889	18
Argentina	988.2	1285.92206488778	212.4	-34.6	47327407	38941369.5	102435140.3	46
Armenia	985.38	393.691175673333	200.1	40.18	2963900	181361.2	2712225.7	22
Australia	995.94	5477.51242404445	312.3	-35.3	25924270	186440732	706727086.9	90
Austria	996.17	5065.43587239556	241.6	48.2	9027999	140119580.5	735677705.9	55
Azerbaijan	972.13	200.751003687778	138.4	40.38	10164464	112818.6	8648754.1	22
Bahamas	984.9	1768.69394260111	185.0	25.07	39345	1667681.22222222	13785133.1111111	NA
Bahrain	992.33	1025.81742350222	111.5	26.22	1501635	2333074.11111111	24368754.2222222	NA
Bangladesh	960.6	32.8123166822222	105.5	23.73	168220000	1214440.8	16814332.4	20
Barbados	985.99	1166.08192274222	216.0	13.1	288	472184.5	8028053.2	NA
Belarus	995.73	370.851928708889	246.9	53.9	9349645	27187430	46850810	25
Belgium	995.79	4818.59195963444	322.8	50.85	11657619	574844477.4	753840734.6	75
Bhutan	965.49	95.96870931	81.3	27.47	7632	20988.3333333333	5698146	52
Bolivia	967.08	190.063013712222	132.5	-16.5	11797257	313439.222222222	16303468.8888889	10
Bosnia Herzegovina	993.58	487.661109076667	221.6	43.87	3320954	17265067.6	23019977.2	22
Botswana	950.65	445.604651556667	104.8	-24.65	2410338	917827.222222222	15599425.2222222	NA
Brazil	983.52	914.509799534444	203.8	-15.78	214927710	23624760.1	150462110.9	38
Brunei	989.49	769.810051812222	219.5	4.88	429999	180283.9	18789898	NA
Bulgaria	991.42	595.923617891111	238.5	42.7	6520314	21108910.6	14974006.8	30
Burkina Faso	896.52	39.4333347744444	109.4	12.35	21510181	46960.3	5437093.1	15
Burundi	928.73	21.8056880088889	133.3	-3.43	12574571	38780.2	3537897.9	NA
Cambodia	966.39	79.5219107722222	133.3	11.55	15552211	606820.6	3351789.1	NA
Cameroon	908.89	53.9580493511111	125.8	3.87	24348251	174873.5	16080273.5	NA
Canada	994.6	5081.35319010333	287.4	45.42	38841218	407275210.5	2069265642	80
Cape Verde	979.59	173.448738944444	178.5	14.92	563198	13383.7142857143	1989709.4	20
Central African Republic	874.39	27.2452458277778	99.2	4.37	5633412	NA	1367197.11111111	NA
Chad	869.51	35.5955208666667	100.4	12.1	16818391	NA	NA	NA
Chile	992.08	1209.29357910333	173.5	-33.45	19678363	14169605.2	76683014.1	23
China	988.58	384.701838175556	203.8	39.9	1412600000	2492502351.7	565954171.9	20
Chinese Taipei	NA	NA	NA	NA	NA	NA	NA	NA
Colombia	984.15	511.679673937778	177.5	4.58	51049498	73148754.7	75894356.9	13
Congo	945.72	61.9245296044445	84.3	-4.27	5657000	3798.6	2889275.2	NA
Costa Rica	990.72	849.578294542222	175.2	9.93	5163038	11128970.1	38739802.5	15
Croatia	995.01	950.571709527778	284.1	45.82	3888529	44347378.7	34897181.3	33
Cuba	994.25	874.899407281111	202.1	23.13	11113215	NA	NA	NA
Cyprus	997.02	1861.03873697889	248.0	35.17	9181	5397582.5	27246231.3	NA
Czech Republic	996.82	1518.08725314667	281.2	50.08	10516707	456296081.5	293901316.4	58
Democratic Republic of Congo	901.98	17.9077540511111	101.9	-4.32	92378000	NA	NA	NA
Denmark	995.97	5995.26095920222	334.9	55.67	5883562	155638286.5	200817698.8	74
Dominican Republic	965.08	406.13398234	169.4	18.47	10535535	3618552	30859097.7777778	30
Ecuador	984.12	433.890862357778	149.7	-0.25	18027268	5090177.6	49035210.6	8
Egypt	975.94	146.680067274444	157.5	30.05	103620597	17468035.9	50896634.4	37
El Salvador	983.98	279.739413788889	127.3	13.68	6825935	7332082.6	22551372.4	19
Estonia	996.72	1245.96723090222	274.2	59.43	1331796	79450424.9	13644270.8	60
Eswatini	937.93	296.908075968889	123.4	-26.32	1172000	17833465	12256898.4	NA
Ethiopia	935	22.5427204766667	103.4	9.02	120812698	410952.444444444	37800494.6666667	20
Fiji	975.38	186.539889865556	168.7	-18.13	898402	1576097.6	4396114.4	14
Finland	997.4	4504.09917534667	260.9	60.17	5550066	84812127.1	130863053.8	63
France	995.8	4607.02381727444	320.1	48.85	67874000	1218909734.3	1310982456.1	71
Gabon	948.39	231.307620577778	113.8	0.38	2233272	NA	NA	NA
Gambia	938.41	30.5449034377778	79.3	13.45	2487000	33062.5	1835553.55555556	NA
Georgia	988.86	307.81700643	191.3	41.72	3728573	108171.9	12157838.7	41
Germany	996.05	5061.83582899333	281.9	52.52	83695430	2578110909.6	1644662590.6	67
Ghana	943.4	82.4492475733333	114.6	5.55	30832019	3431791.7	32581793.5	15
Greece	995.82	1702.84791395333	260.4	37.97	10432481	66413469.7	98644814.6	35
Guatemala	970.77	228.881164548889	120.0	14.6	17109746	3538120.4	42915040.3	6
Guyana	966.5	239.556832208889	141.2	6.8	743699	100011	6973648.5	NA
Haiti	916.77	64.5905816811111	136.9	18.53	11743017	NA	NA	NA
Honduras	980.21	179.387542725556	132.2	14.1	9546178	301778	22643717.4444444	20
Hong Kong	NA	NA	NA	22.18	7403100	445097213.1	1058547215.3	25
Hungary	994.89	992.031331381111	321.6	47.47	9689000	101627317.7	62761079.7	80
Iceland	997.67	4933.74829101778	252.0	64.13	37728	1076379.3	13171667	60
India	954.58	56.8703193644444	96.4	28.6	1379750000	255085356.1	170793910.1	48
Indonesia	971.54	108.040977476667	138.4	-6.2	272248500	24169452.8	45753173.6	14
Iran	983.99	459.439259846667	148.7	35.68	85633664	12115584.625	8612719.375	41
Iraq	969.66	196.281641643333	133.3	33.33	41190700	80640	10137562	31
Ireland	996.28	5181.39171007111	326.6	53.33	5123536	86926715.8	296860776.8	70
Israel	995.98	2858.99123806444	239.4	31.78	9550940	75474600	33531000	54
Italy	996.46	2985.90793185889	278.3	41.9	58906742	862760506.5	425168077.1	76
Ivory Coast	NA	NA	NA	6.82	27087732	NA	NA	NA
Jamaica	984.19	281.1542511	196.9	17.98	2734093	851039.4	39468982	39
Japan	997.18	4375.59244791555	282.9	35.68	125502000	157836242.4	354301845.8	46
Jordan	982.27	313.757314045556	153.2	31.93	11260452	16852384.5	20955077.2	30
Kazakhstan	986.36	316.092617458889	160.3	51.17	19271712	1457242.3	61961306.9	20
Kenya	950.08	69.2535213877778	147.1	-1.28	47564296	11127817.1428571	31773959.2857143	25
Kosovo	NA	NA	NA	42.67	1798188	NA	NA	NA
Kuwait	990.82	1367.23227267778	115.1	29.37	4670713	2090468.33333333	30466014.7777778	25
Kyrgyzstan	976.74	81.7246093766666	126.5	42.87	6700000	326761	4003166.1	NA
Laos	944.15	49.5047698533333	163.7	17.97	7337783	1442064.8	1004124.1	NA
Latvia	994.45	891.717753091111	296.1	56.93	1874900	99743823	15724424.8	70
Lebanon	991.46	606.444017198889	152.7	33.88	6769000	73712386.7777778	52503869.2222222	43
Lesotho	907.16	113.952533297778	106.0	-29.3	2159000	115043.428571429	4352422.71428571	NA
Liberia	910.36	61.9934722066667	117.1	6.3	4661010	NA	NA	NA
Libya	985.9	309.87866211	131.0	32.9	7054493	36123	30032246.3333333	35
Lithuania	995.17	1045.95671251111	287.5	54.68	2794961	70158666.4	NA	60
Luxembourg	997.2	6129.54546441111	264.6	49.6	645397	11152754.9	77374104.9	60
Macao	NA	NA	NA	NA	6832	181090.857142857	9559430.25	NA
Macedonia	NA	NA	NA	NA	NA	NA	NA	NA
Madagascar	939.81	22.5030263255556	120.8	-18.93	26923353	66660	6196033.8	NA
Malawi	941.38	36.2582316933333	151.3	-13.98	21507723	916131.1	16100191	30
Malaysia	991.84	392.309956867778	142.5	3.13	32729600	171313544.7	161697687	26
Maldives	989.76	753.635667591111	122.3	4.17	383135	30008.3333333333	5705288.22222222	NA
Mali	888.88	32.3708004422222	137.5	12.65	21473764	38866.6	2181282.4	NA
Malta	993.41	2315.32644314222	238.0	35.88	514564	6736541.7	18991156.9	59
Mauritania	915.91	53.1476957533333	106.1	18.1	4271197	15526.75	1030494.1	NA
Mauritius	985.09	537.86065674	152.2	-20.15	1266334	7762348.2	11716298.3	NA
Mexico	983.45	553.060651991111	134.6	19.43	128271248	199621709.5	399330557.3	30
Moldova	984.09	229.264300876667	211.2	47	2597100	1371789.7	8065816.3	27
Mongolia	979.63	161.278199935556	214.0	47.92	3448922	34694.2857142857	1934010.28571429	NA
Montenegro	995.61	619.756632486667	260.6	42.43	621306	1857267.11111111	12416395.1111111	24
Morocco	975.35	167.745405408889	147.3	34.03	36670572	2886228.5	79834266.1	46
Mozambique	912.67	37.1088174177778	131.0	-25.97	31616078	210226	24727630.5	15
Myanmar	946.34	49.8381803311111	133.6	19.75	55294979	5603080.22222222	4805832.5	NA
Namibia	952.99	481.610565186667	186.1	-22.57	2550226	1551013.8	20189138.6	30
Nepal	963.1	44.3449456977778	80.0	27.7	29192480	291119.625	13147352.125	30
Netherlands	995.87	5224.27435981	315.1	52.37	17719836	894767473.5	668826003.4	80
New Zealand	994.45	3894.20540364778	295.3	-41.28	5133388	25045151.2	196339374.2	79
Nicaragua	980.01	154.997091504444	132.9	12.13	6595674	932453.875	16503577.9	NA
Nigeria	873.26	86.2904196855556	108.1	9.07	218541212	25434444.7142857	127885492.1	30
Norway	997.24	8376.38183593778	312.3	59.95	5435536	58762640.5	318068153.5	69
Oman	988.7	624.64585368	102.1	23.6	4527446	2777273.77777778	16512887.4444444	NA
Pakistan	922.8	35.4240625177778	107.6	33.72	235824862	3356847.4	31379989.1	14
Panama	982.69	927.380777994444	148.2	8.98	4278500	22020405.625	41004533.25	11
Papua New Guinea	948.32	66.9881375633333	186.2	-9.5	9122994	135448	29808178.5	NA
Paraguay	977.25	365.084950764444	185.9	-25.27	7353038	455479.6	12300108.6	12
Peru	983.78	325.513475205556	169.4	-12.03	33396698	23222306.3	73602545.6	16
Philippines	970.33	119.602188111111	161.0	14.58	112196429	4835732.7	84443319.5	32
Poland	994.96	887.823072646667	260.4	52.23	38014000	965858359.8	338714823.1	60
Portugal	996.37	2047.57014974	255.0	38.7	10344802	53793054.7	155068555.9	27
Puerto Rico	NA	NA	209.7	18.45	3285874	NA	NA	27
Qatar	992.19	1738.82925076111	106.6	25.28	2799202	3058602.71428571	43046789.5555556	25
Romania	990.4	525.129486083333	255.9	44.42	19186201	50838312.2	59033499.9	30
Russia	991.67	643.275912815556	229.2	55.75	147190000	299869827.1	382572245.7	39
Rwanda	949.74	51.9606509755556	111.7	-1.93	12955768	118627.9	12652693.2	NA
Saint Lucia	978.28	484.067416721111	174.3	14.02	178696	78887.75	3304436.625	NA
Sao Tome and Principe	974.88	105.896252102222	126.4	0.33	21461	1513.55555555556	329751.444444444	37
Saudi Arabia	990.48	1182.50126817444	95.2	24.63	35013414	18688487.6	100130733.7	48
Senegal	948.45	57.5878545977778	116.9	14.68	17223497	401869.9	11474293.9	25
Serbia	993.47	574.092210556667	291.6	44.82	6797105	45407096.4	22418465	25
Sierra Leone	864.35	76.50621838	99.8	8.48	8297882	12505.2	4695994	20
Singapore	997.32	2277.08536784	229.8	1.28	5453600	532096038.3	316072148.4	20
Slovakia	993.67	1271.91404893667	290.4	48.13	5434712	158790369.3	95872019.2	52
Slovenia	997.32	2018.37866211	300.2	46.05	2108977	78829733.4	59498999.1	27
South Africa	961.1	569.664913602222	193.2	-25.73	60142978	80049754.4	183281095.5	65
South Korea	996.43	2006.31292046667	239.9	37.55	51745000	151554676	204047497.4	18
Spain	996.55	2612.59187825444	264.6	40.38	47432805	713089846.6	492224156.2	51
Sri Lanka	990.88	142.307740106667	104.0	6.9	22156000	3318605	13956691.875	35
Sudan	933.09	122.805230036667	93.8	15.63	44617080	62210.5	4342836	NA
Suriname	979.39	448.488430447778	165.0	5.87	598	28299.2	4574081.8	47
Sweden	997.12	6078.00802951445	271.0	59.32	10415811	161978013.1	273550875	71
Switzerland	995.7	9436.56553819778	268.2	46.95	8753933	204431797.6	950201042	68
Syria	968.15	75.27228546	146.8	33.5	18276000	9158893	13196204	35
Taiwan	NA	NA	NA	25.03	23375314	NA	NA	17
Tajikistan	962.09	61.2688844477778	87.9	38.53	9506000	NA	NA	NA
Tanzania	940.1	39.6892958755556	131.0	-6.17	59441988	1753010.11111111	17766027.1111111	25
Thailand	988.85	233.570632934444	161.7	13.75	66815655	36662253.6	96446603.7	20
Timor-Leste	948.29	89.0598102144445	88.6	-8.57	1317780	232070	1654127	NA
Togo	922.64	44.4065755211111	107.6	6.12	7886000	86546.7	2739047.3	NA
Trinidad and Tobago	980.27	1063.69897461111	193.4	10.67	1367558	6562049	18721710.3333333	16
Tunisia	982.58	259.84169854	131.0	36.8	11746695	2867874.4	16650051.5	40
Turkey	986.34	475.752905952222	225.6	39.87	84680273	56517003.7	72629515.3	37
Uganda	941.36	42.7860459233333	152.0	0.3	42885900	1556645.22222222	13858118.3333333	NA
Ukraine	990.18	220.651746963333	206.3	50.45	41130432	72417486.2222222	38454046.5555556	25
United Arab Emirates	992.29	1552.41842990444	104.8	24.47	9282410	206973701.75	205937186.375	36
United Kingdom	995.39	4284.11900499222	296.1	51.5	67081234	3305667969.3	1986665075.7	89
United States	993.15	9398.97905816111	297.3	38.9	332921082	3482472625.6	2950738147.7	91
Uruguay	991.09	1487.20793999556	257.8	-34.88	3554915	2741097.7	8129565.4	36
Uzbekistan	979.25	111.231370713333	106.9	41.27	35672819	115972	5124132.33333333	NA
Venezuela	979.69	612.865529378889	170.1	10.5	28705000	381005.666666667	77743028.5	12
Vietnam	978.06	129.046489291111	158.6	21.03	98505400	18146659.4	36779056	20
Yemen	940.25	74.932702638	95.2	15.33	30491000	210363.333333333	1949547.625	NA
Zambia	930.3	68.0372013522222	150.8	-15.42	18400556	365985.8	20298810.8	35
Zimbabwe	934.56	108.577492972222	194.7	-17.85	15790716	134423.7	11794499.3	NA
