country,gdp_2000,gdp_2005,gdp_2010,gdp_2015,gdp_2020
Netherlands,48587,55164,56772,59221,65859
Belgium,31024,32309,36164,39218,41057
Germany,75719,77536,91101,101611,111988
France,32147,37628,43937,51609,55934
Italy,34697,39304,41473,44367,49885
Spain,29401,32453,36239,41092,42506
Poland,23629,26361,30848,33962,38983
Sweden,38403,40905,48069,55739,63134
Portugal,26891,31200,35552,38571,40023
Austria,27027,30338,33636,38212,41724
Turkey,45874,47873,52888,54390,55565
Norway,36220,37741,40390,44125,47195
