student_id,age,gender,year,hours_study,exam_score,satisfaction
1001,19,m,3,11.9,63,5
1002,21,m,3,10.2,85,3
1003,22,m,1,3.3,46,3
1004,19,f,1,12.8,68,5
1005,20,f,2,7.8,64,4
1006,20,f,2,10.3,64,4
1007,21,m,2,9.2,61,4
1008,18,f,2,13.2,69,4
1009,21,f,2,7.3,69,5
1010,18,f,2,12.9,72,5
1011,20,m,1,11.7,68,4
1012,23,nb,3,8.1,60,4
1013,20,nb,2,10.3,53,4
1014,20,nb,2,6.9,66,6
1015,18,m,1,9.8,62,4
1016,19,m,2,5.1,55,5
1017,18,m,2,14.2,72,5
1018,22,m,1,10.1,74,4
1019,20,f,1,9.1,60,7
1020,21,f,2,6.7,43,4
1021,19,f,2,6.4,51,6
1022,21,m,3,9.9,67,5
1023,19,f,1,10.1,54,4
1024,18,nb,2,9.7,61,2
1025,20,nb,1,9.3,59,4
1026,22,m,2,8.6,53,5
1027,20,f,3,6.7,52,7
1028,20,f,2,6.2,61,6
1029,20,m,2,8.2,58,5
1030,22,nb,1,0.5,46,3
1031,18,f,1,7.9,51,3
1032,19,f,1,3.4,37,6
1033,20,m,2,8.8,60,5
1034,21,m,1,11.4,67,5
1035,20,m,1,7.1,56,7
1036,23,m,1,7.6,65,6
1037,19,f,1,5.8,53,2
1038,19,nb,1,5.2,44,5
1039,18,f,2,3.2,48,1
1040,22,m,2,10.9,64,5
1041,20,f,3,15.8,84,2
1042,21,f,1,16.3,86,6
1043,20,m,3,6.8,56,5
1044,20,nb,2,6.3,58,5
1045,22,m,1,12.7,79,5
1046,19,f,1,11.5,67,4
1047,20,f,3,7.8,52,5
1048,21,m,2,1.8,42,5
1049,20,f,2,8.8,63,2
1050,18,m,2,8.8,61,5
1051,23,f,1,15.7,69,4
1052,19,m,3,8.7,63,5
1053,19,f,1,12.7,78,4
1054,20,m,2,4.6,57,3
1055,19,m,2,16.3,80,5
1056,21,f,3,10.3,66,5
1057,19,f,1,3.2,51,3
1058,22,f,1,11.8,75,5
1059,20,f,1,15.2,84,3
1060,18,nb,1,12.2,67,6
1061,23,m,3,19.9,88,7
1062,19,nb,1,9.5,69,6
1063,21,f,3,6.4,44,6
1064,18,f,1,9.0,50,5
1065,20,m,1,5.4,54,3
1066,20,m,3,6.5,59,5
1067,18,f,2,15.7,72,6
1068,19,m,1,4.5,43,3
1069,18,f,1,8.8,58,5
1070,20,f,2,10.9,56,5
1071,21,f,1,9.0,68,5
1072,21,f,2,7.0,54,5
1073,21,f,2,4.7,41,5
1074,20,f,2,9.5,70,5
1075,20,m,2,13.6,72,4
1076,19,nb,1,0.5,53,6
1077,21,nb,1,13.7,65,4
1078,19,m,1,3.2,49,6
1079,20,m,2,6.5,60,4
1080,20,m,2,5.8,49,7
