respondent_id;country;age;income_monthly;party;turnout;education
2001;NETHERLANDS;36;1561,49;1;1;3
2002;austria;20;2684,66;1;1;1
2003;Germany;30;1760,42;1;1;3
2004;austria ;40;2405,78;2;0;3
2005;spain;36;600,00;2;1;3
2006;Sweden;67;999999,00;2;1;1
2007;spain;40;3187,02;2;1;1
2008;poland;240;2088,31;2;0;3
2009;poland;39;1365,56;2;1;2
2010;spain;54;3249,30;1;1;4
2011;france;34;3047,21;3;1;1
2012;Norway;28;2152,59;2;1;3
2013;sweden;51;4043,10;1;1;3
2014;portugal;36;2476,10;1;1;4
2015;Spain;36;2468,30;2;1;2
2016;austria;36;999999,00;2;0;2
2017;POLAND;55;3279,74;2;1;3
2018;portugal;42;2440,70;1;1;4
2019;spain;30;1450,25;2;0;3
2020;netherlands ;43;1741,14;3;1;2
2021;italy;65;999999,00;1;1;3
2022;AUSTRIA;29;1668,69;3;1;3
2023;france;24;3531,82;3;1;3
2024;spain;-99;3224,75;2;1;3
2025;France;49;1547,31;2;1;3
2026;turkey;68;1267,27;2;1;2
2027;Sweden;36;3268,11;1;1;4
2028;spain ;-99;1180,82;2;1;2
2029;Poland;22;3652,15;3;1;3
2030;TURKEY;50;2643,01;3;1;1
2031;netherlands;22;1892,18;1;0;4
2032;norway;29;1622,82;2;1;1
2033;germany ;57;2035,55;1;1;1
2034;turkey;62;2676,65;3;1;4
2035;austria;32;3222,04;2;1;2
2036;SWEDEN;69;999999,00;2;1;4
2037;sweden;19;999999,00;1;1;2
2038;AUSTRIA;55;999999,00;9;0;3
2039;poland;60;999999,00;2;0;2
2040;ITALY;55;4563,82;2;1;2
2041;Sweden;68;999999,00;9;1;2
2042;turkey;46;2697,97;2;1;2
2043;Portugal;39;2139,79;2;1;3
2044;belgium;44;3258,87;1;1;3
2045;Austria;32;2060,11;1;1;2
2046;austria;60;1975,16;1;1;4
2047;ITALY;61;2361,48;2;1;3
2048;portugal ;41;999999,00;3;1;1
2049;germany;21;1388,87;1;1;3
2050;netherlands;62;3498,19;2;1;3
2051;Sweden;59;3326,15;2;1;1
2052;turkey;60;3583,42;3;0;4
2053;italy;39;1628,53;1;0;1
2054;netherlands;49;2899,98;3;1;3
2055;france;56;1824,58;1;1;4
2056;Belgium;37;3461,27;2;1;1
2057;Germany;33;2332,37;1;0;3
2058;netherlands;63;3235,84;3;1;3
2059;NETHERLANDS;24;999999,00;2;1;3
2060;belgium ;69;3704,05;2;1;4
2061;poland;56;3332,18;2;0;4
2062;Turkey;50;2219,23;1;0;3
2063;france;52;4454,06;1;1;2
2064;italy;26;2518,67;1;0;2
2065;germany ;54;999999,00;3;1;2
2066;italy;58;;1;1;2
2067;sweden;-99;1368,77;3;1;4
2068;netherlands;43;3260,71;1;1;3
2069;netherlands;62;3233,38;2;1;3
2070;italy;54;999999,00;2;1;2
2071;norway;22;2521,74;3;0;2
2072;spain ;60;2008,83;3;1;1
2073;italy;51;3415,70;1;1;1
2074;portugal;47;2494,29;2;0;3
2075;AUSTRIA;68;3545,86;1;0;2
2076;norway;-99;1146,55;2;1;2
2077;Turkey;70;2578,89;9;1;4
2078;Turkey;-99;2161,66;3;0;3
2079;turkey;62;1570,92;2;0;4
2080;germany;51;2810,18;3;1;3
2081;italy;38;3420,46;1;0;2
2082;France;26;1765,58;2;1;2
2083;Sweden;48;2170,14;9;0;4
2084;turkey;25;999999,00;1;1;4
2085;Poland;37;;2;1;2
2086;Italy;49;2479,39;2;1;3
2087;austria;48;1359,87;2;1;1
2088;netherlands;67;3724,41;1;1;3
2089;FRANCE;27;1608,55;2;1;4
2090;sweden;23;2418,84;3;1;1
2004;austria ;40;2405,78;2;0;3
2053;italy;39;1628,53;1;0;1
