country,n,gender_diff,alpha_mean,N,E,O,A,C,sd,n_table1
France,136,0.44,0.73,0.53,0.36,0.11,0.11,0.77,9.21,136
Netherlands,241,0.36,0.77,0.67,0.05,0.05,0.41,0.3,9.18,241
Czech Republic,235,0.34,0.73,0.31,0.4,0.04,0.55,0.11,9.53,97
Brazil,97,0.34,0.75,0.63,0.59,-0.03,-0.03,0.15,9.59,235
Belgium,522,0.32,0.61,0.46,0.17,-0.18,0.23,0.43,8.32,522
Italy,200,0.32,0.7,0.58,0.16,0.14,0.27,0.26,8.9,200
Slovakia,184,0.32,0.72,0.28,0.29,0.37,0.49,0.21,9.56,184
Austria,467,0.31,0.81,0.45,0.29,-0.02,0.23,0.27,9.5,467
Spain,273,0.31,0.77,0.6,0.21,-0.2,0.16,0.27,9.08,273
Latvia,193,0.3,0.74,0.59,0.05,0.07,0.25,0.31,9.24,193
New Zealand,274,0.3,0.79,0.35,0.34,-0.06,0.28,0.22,10.49,274
Mexico,215,0.29,0.76,0.44,0.13,-0.12,0.23,0.36,10.17,215
Morocco,182,0.29,0.62,0.81,-0.04,0.12,0.27,0.12,9.22,182
Canada,1039,0.28,0.8,0.49,0.17,-0.14,0.2,0.27,8.9,1039
Estonia,188,0.28,0.76,0.61,0.22,0.33,0.28,0.01,9.74,188
Australia,489,0.27,0.65,0.35,0.2,-0.02,0.33,0.21,8.77,489
Lebanon,263,0.27,0.78,0.63,0.06,-0.13,0.3,0.1,9.03,312
Romania,251,0.27,0.68,0.63,-0.02,-0.22,0.1,0.37,9.87,263
Switzerland,214,0.27,0.68,0.3,0.52,0.03,0.01,0.25,9.73,251
Chile,312,0.27,0.81,0.39,-0.02,-0.12,0.3,0.4,8.65,214
United States,2793,0.27,0.81,0.53,0.15,-0.22,0.19,0.2,8.49,2793
Serbia,200,0.26,0.72,0.31,0.35,0.46,0.26,0.13,8.73,246
Argentina,246,0.26,0.71,0.54,0.21,-0.29,0.16,0.12,8.47,206
Peru,206,0.26,0.76,0.51,0.06,-0.03,0.26,0.19,9.35,200
Israel,394,0.24,0.75,0.8,0.04,-0.17,0.19,-0.08,9.87,394
Germany,790,0.23,0.78,0.48,0.12,0.11,0.09,0.23,8.43,181
Turkey,412,0.23,0.8,0.58,0.07,-0.07,0.2,0.07,8.22,790
Bolivia,181,0.23,0.77,0.49,0.06,0.04,0.31,0.04,9.37,412
Lithuania,94,0.22,0.69,0.55,0.18,-0.1,0.13,0.01,8.58,94
Poland,846,0.21,0.73,0.47,0.11,0.14,0.18,0.09,10.0,846
Malta,331,0.2,0.77,0.52,-0.02,-0.05,0.12,0.18,9.3,222
Croatia,222,0.2,0.76,0.22,0.31,0.02,0.0,0.25,9.84,331
United Kingdom,483,0.2,0.8,0.55,0.03,-0.12,0.29,-0.09,9.17,483
Slovenia,182,0.19,0.77,0.45,0.05,0.2,0.18,0.07,9.34,182
Cyprus,60,0.18,0.72,0.21,0.25,0.18,0.27,-0.02,8.99,60
Hong Kong,201,0.18,0.7,0.26,-0.05,0.07,0.23,0.26,8.42,201
South Africa,162,0.17,0.71,0.41,0.19,-0.08,0.0,0.06,9.53,162
Bangladesh,145,0.16,0.8,0.11,0.13,0.16,0.19,0.22,9.59,145
Portugal,252,0.14,0.67,0.49,-0.18,-0.28,0.17,0.09,8.82,282
Philippines,282,0.14,0.8,0.28,0.12,0.02,0.08,0.08,8.46,252
Tanzania,136,0.13,0.59,0.05,0.03,-0.12,0.29,0.14,8.5,136
Taiwan,209,0.12,0.75,0.34,0.21,0.0,-0.18,0.11,7.77,209
Jordan,275,0.09,0.65,0.43,-0.03,-0.38,0.01,-0.04,8.8,275
Ethiopia,240,0.07,0.48,0.17,-0.01,-0.12,0.12,-0.01,8.92,240
Zimbabwe,200,0.06,0.66,0.25,-0.04,-0.12,-0.01,0.04,9.23,200
Malaysia,141,0.05,0.74,0.26,-0.38,-0.41,0.2,0.12,9.32,229
Greece,229,0.05,0.68,0.17,-0.29,-0.04,0.22,0.09,7.6,141
Japan,259,0.04,0.74,0.09,0.08,-0.13,0.03,-0.05,9.15,259
South Korea,490,0.01,0.79,0.4,0.02,-0.02,-0.2,-0.17,6.62,122
India,200,0.01,0.73,0.6,-0.38,-0.46,0.09,-0.27,8.19,200
Finland,122,0.01,0.71,0.32,-0.19,-0.24,-0.05,-0.06,9.5,490
Botswana,213,0.0,0.63,-0.13,0.36,-0.18,0.07,-0.28,7.42,213
Fiji,163,-0.04,0.6,0.27,0.12,-0.15,-0.28,-0.28,8.57,163
Congo,192,-0.09,0.48,0.2,-0.11,-0.21,-0.27,-0.19,8.21,192
Indonesia,111,-0.16,0.68,-0.12,-0.36,-0.31,-0.11,-0.04,9.13,111
